"Gibert Joseph","Cashback Gibert Joseph",1844,"http://tracking.publicidees.com/clic.php?promoid=44951&progid=1844&partid=29897&cb={userid}","2,00%","2% par achat","merc28",1,2
"Ecotour.com","Cashback Ecotour.com",378,"http://tracking.publicidees.com/clic.php?promoid=30776&progid=378&partid=29897&cb={userid}","15,00€","15,00€ par achat","merc29",0,15
"Digixo.com","Cashback Digixo.com",205,"http://tracking.publicidees.com/clic.php?promoid=1917&progid=205&partid=29897&cb={userid}","1%","1% par achat","merc30",1,1
"Digitick","Cashback Digitick",1472,"http://tracking.publicidees.com/clic.php?promoid=37093&progid=1472&partid=29897&cb={userid}","0,20€","0,20€ par achat","merc31",0,0
"Corine de Farme","Cashback Corine de Farme",1838,"http://tracking.publicidees.com/clic.php?promoid=46202&progid=1838&partid=29897&cb={userid}","2,00€","2,00€ par achat","merc32",0,2
"Coriolis","Cashback Coriolis",2284,"http://tracking.publicidees.com/clic.php?promoid=60174&progid=2284&partid=29897&cb={userid}","Jusqu'à 20,00€","15,00 € sur Forfait Ideal, cles 3G
20,00 € sur Forfait Topissime
10,00 € sur Forfait bloques","merc33",0,20
"Corsair","Cashback Corsair",1012,"http://tracking.publicidees.com/clic.php?promoid=22738&progid=1012&partid=29897&cb={userid}","6,00€","6,00€ par achat","merc34",0,6
"Lucien Barrière","Cashback Lucien Barrière",608,"http://tracking.publicidees.com/clic.php?promoid=10908&progid=608&partid=29897&cb={userid}","4,00%","4% par achat","merc35",1,4
"PromoVacances","Cashback PromoVacances",2184,"http://tracking.publicidees.com/clic.php?promoid=60087&progid=2184&partid=29897&cb={userid}","Jusqu'à 15,00€","1,75 % sur Vente Séjour, Croisière à la voile 
1,50 % sur Camping, l'hotel
0,75 %  sur Séjour  Week-end, vol
1,00 %  sur Vente Location Ski 
1,50 % sur Vente Camping
15,00 € sur Vente Croisière Paquebot","merc36",0,15
"C&A","Cashback C&A",1887,"http://tracking.publicidees.com/clic.php?promoid=47823&progid=1887&partid=29897&cb={userid}","3,5%","3.5% par achat","merc37",1,3
"Le Bourget","Cashback Le Bourget",1565,"http://tracking.publicidees.com/clic.php?promoid=37099&progid=1565&partid=29897&cb={userid}","3,5%","3.5% par achat","merc38",1,3
