"topachat","Cashback topachat",1783,"http://ad.zanox.com/ppc/?23045460C305538471T&zpar0=[[{userid}]]","1,00%","1% par achat","merc23",1,1
"simyo","Cashback simyo",5909,"http://ad.zanox.com/ppc/?23045465C1473405587T&zpar0=[[{userid}]]","3,5€","3,5€ par achat","merc24",0,3
"Prixtel","Cashback Prixtel",6575,"http://ad.zanox.com/ppc/?23045512C1545156351T&zpar0=[[{userid}]]","Jusqu'à 8€","5€ sur forfait ADSL, Forfait Modulo
6.5€ sur Forfait Modulo Gold
7.5€ sur Forfait ADSL Gold
8€ sur Forfait ADSL Premium, Forfait Modulo Premium","merc25",0,8
"Glossybox","Cashback Glossybox",10486,"http://ad.zanox.com/ppc/?23045520C551813273T&zpar0=[[{userid}]]","Jusqu'à 8€","4€ sur Men, Men 2
3.5€ sur Beauty 30 Euro
2.5€ sur Beauty
7€ sur Beauty 60 Euro, Men 6, Men 4
8€ sur Beauty 110 Euro","merc26",0,8
"Europcar CrossBorder","Cashback Europcar CrossBorder",11665,"http://ad.zanox.com/ppc/?23045529C716028503T&zpar0=[[{userid}]]","5€","5€ par achat","merc27",0,5
"CanalPlus","Cashback CanalPlus",5964,"http://ad.zanox.com/ppc/?23045555C301610717T&zpar0=[[{userid}]]","Jusqu'à 32,5€","25€ par souscription validée d'abonnement
32,50€ par souscription d'offre couple Canal+ et CanalSat validée d'abonnement
Pas de cashback sur la carte prépayée et sur les offres anciens clients (offres de renouvellement)","merc28",0,32
"lesprit bio","Cashback lesprit bio",11149,"http://ad.zanox.com/ppc/?23047764C2137869147T&zpar0=[[{userid}]]","5€","5€ par achat","merc29",0,5
"Declikdeco","Cashback Declikdeco",7799,"http://ad.zanox.com/ppc/?23046618C501634402T&zpar0=[[{userid}]]","2,75%","2.75% par achat","merc30",1,2
"Private Outlet","Cashback Private Outlet",11906,"http://ad.zanox.com/ppc/?23046544C1500595658T&zpar0=[[{userid}]]","Jusqu'à 6%","3% par achat (ancien client)
6% par achat (nouveau client)
","merc31",1,6
"Carrefourvoyages","Cashback Carrefourvoyages",7204,"http://ad.zanox.com/ppc/?23047590C2051265755T&zpar0=[[{userid}]]","Jusqu'à 27,5€","27,50€ Offres Séjours et Circuits
10€ Offres Week End
10€ Offres France","merc32",1,27
